uporabnik,plezalec,id
linda-okoren,Linda Okoren,0
tina-bercic,Tina Bercic,1
tina-bercic,Tina Bercic,2
linda-okoren,Linda Okoren,3
linda-okoren,Linda Okoren,4
rok-repek,Rok Repek,5
jakob-puhar-48595,jakob puhar,6
tina-bercic,Tina Bercic,7
matja-zorko,Matjaz Zorko,8
matja-zorko,Matjaz Zorko,9
masa-arnsek-dkk2l,Maša Arnšek,10
tina-arnsek,Tina Arnšek,11
tina-arnsek,Tina Arnšek,12
giulio-baxa,Giulio Baxa,13
giulio-baxa,Giulio Baxa,14
thomas-krapfl-ks7lp,Thomas Krapfl,15
alberto-raho,Alberto Raho,16
alberto-raho,Alberto Raho,17
riky-vella,Riky Vella,18
qba-j,Jakub Jarosz,19
thomas-krapfl-ks7lp,Thomas Krapfl,20
sofia-libera,Sofia LiBera,21
riky-vella,Riky Vella,22
qba-j,Jakub Jarosz,23
luca-bosisio,Luca Bosisio,24
giulio-baxa,Giulio Baxa,25
giulio-baxa,Giulio Baxa,26
rok-repek,Rok Repek,27
qba-j,Jakub Jarosz,28
qba-j,Jakub Jarosz,29
qba-j,Jakub Jarosz,30
qba-j,Jakub Jarosz,31
stefan-atschreiter,Stefan Atschreiter,32
stefan-atschreiter,Stefan Atschreiter,33
michal-grzyb,Michal Grzyb,34
michal-grzyb,Michal Grzyb,35
riccardo-edalucci,Riccardo Edalucci,36
vesna-pavlovic,Vesna Pavlovič,37
alberto-raho,Alberto Raho,38
qba-j,Jakub Jarosz,39
qba-j,Jakub Jarosz,40
qba-j,Jakub Jarosz,41
stefan-atschreiter,Stefan Atschreiter,42
matja-zorko,Matjaz Zorko,43
matja-zorko,Matjaz Zorko,44
michal-grzyb,Michal Grzyb,45
luca-bosisio,Luca Bosisio,46
stefan-atschreiter,Stefan Atschreiter,47
blaz-scuka,Blaž Ščuka,48
tina-bercic,Tina Bercic,49
qba-j,Jakub Jarosz,50
qba-j,Jakub Jarosz,51
qba-j,Jakub Jarosz,52
bor-savnik,Bor  Savnik,53
luca-bacer,Luca Bacer,54
yari-de-momi,Giari Giari,55
masa-arnsek-dkk2l,Maša Arnšek,56
jakob-meglic,Jakob Meglič,57
luca-bosisio,Luca Bosisio,58
neza-nemec,Neža N.,59
andrea-one-padoan,Andrea &quot;ONE&quot; Padoan,60
petra-zupan,Petra Zupan,61
nejc-kavcic,Nejc Kavčič,62
petra-zupan,Petra Zupan,63
alberto-raho,Alberto Raho,64
alberto-raho,Alberto Raho,65
tina-bercic,Tina Bercic,66
andrea-pustetto,Andrea Pustetto,67
domen-kolenko,Domen Kolenko,68
neza-nemec,Neža N.,69
neza-nemec,Neža N.,70
neza-nemec,Neža N.,71
neza-nemec,Neža N.,72
stefano-turina,Stefano Turina,73
saso-poglajen,Sašo Poglajen,74
bor-savnik,Bor  Savnik,75
robert-vlasits,Robert Vlasits,76
blaz-scuka,Blaž Ščuka,77
blaz-scuka,Blaž Ščuka,78
blaz-scuka,Blaž Ščuka,79
riky-vella,Riky Vella,80
masa-arnsek-dkk2l,Maša Arnšek,81
tina-arnsek,Tina Arnšek,82
tina-arnsek,Tina Arnšek,83
masa-arnsek-dkk2l,Maša Arnšek,84
dominik-fon,Dominik Fon,85
jernej-kruder,Jernej Kruder,86
roni-nikolic,Roni Nikolic,87
mojca-bizjak,Mojca Bizjak,88
roni-nikolic,Roni Nikolic,89
roni-nikolic,Roni Nikolic,90
domen-kolenko,Domen Kolenko,91
riky-vella,Riky Vella,92
jakob-meglic,Jakob Meglič,93
luka-pavlovcic,Luka Pavlovcic,94
nejc-kavcic,Nejc Kavčič,95
nejc-kavcic,Nejc Kavčič,96
nejc-kavcic,Nejc Kavčič,97
tina-arnsek,Tina Arnšek,98
roni-nikolic,Roni Nikolic,99
matteo-humar,Matteo Humar,100
maj-tomazin-1915j,Maj Tomažin,101
andraz-lekse,Andraž Lekše,102
laura-drasler-76851,Laura Drašler,103
katja-mesaric,Katja Mesarič,104
marko-buljan,Marko Buljan,105
nejc-kavcic,Nejc Kavčič,106
matteo-humar,Matteo Humar,107
maj-tomazin-1915j,Maj Tomažin,108
andraz-lekse,Andraž Lekše,109
laura-drasler-76851,Laura Drašler,110
peter-mastnak-sokolov,Peter Mastnak-Sokolov,111
robert-buh,Robert Buh,112
robert-buh,Robert Buh,113
jaka-sprah,Jaka Šprah,114
marko-buljan,Marko Buljan,115
marko-buljan,Marko Buljan,116
marko-buljan,Marko Buljan,117
marko-buljan,Marko Buljan,118
andrea-chelleris,Andrea Chelleris,119
saso-poglajen,Sašo Poglajen,120
andrea-chelleris,Andrea Chelleris,121
masa-arnsek-dkk2l,Maša Arnšek,122
martin-bombac,Martin Bombac,123
robert-buh,Robert Buh,124
tina-arnsek,Tina Arnšek,125
katja-mesaric,Katja Mesarič,126
katja-mesaric,Katja Mesarič,127
peter-mastnak-sokolov,Peter Mastnak-Sokolov,128
katja-mesaric,Katja Mesarič,129
saso-poglajen,Sašo Poglajen,130
judith-lang,Judith Lang,131
blaz-scuka,Blaž Ščuka,132
tina-arnsek,Tina Arnšek,133
katja-mesaric,Katja Mesarič,134
katja-mesaric,Katja Mesarič,135
jakub-piwowar-ddn8s,Jakub Piwowar,136
masa-arnsek-dkk2l,Maša Arnšek,137
uros-brecelj,Uros Brecelj,138
jakob-meglic,Jakob Meglič,139
janez-miklavcic,Janez Miklavčič,140
maj-tomazin-1915j,Maj Tomažin,141
laura-drasler-76851,Laura Drašler,142
judith-lang,Judith Lang,143
katja-mesaric,Katja Mesarič,144
masa-arnsek-dkk2l,Maša Arnšek,145
robert-buh,Robert Buh,146
tina-arnsek,Tina Arnšek,147
robert-buh,Robert Buh,148
jaka-sprah,Jaka Šprah,149
saso-poglajen,Sašo Poglajen,150
saso-poglajen,Sašo Poglajen,151
saso-poglajen,Sašo Poglajen,152
katja-mesaric,Katja Mesarič,153
katja-mesaric,Katja Mesarič,154
katja-mesaric,Katja Mesarič,155
ajda-lovse,Ajda Lovse,156
yari-de-momi,Giari Giari,157
jaka-sprah,Jaka Šprah,158
katja-mesaric,Katja Mesarič,159
tabea-seedoch,Tabea Seedoch,160
tabea-seedoch,Tabea Seedoch,161
mitja-zivkovic,Mitja Zivkovic,162
martin-bombac,Martin Bombac,163
andrea-chelleris,Andrea Chelleris,164
riky-vella,Riky Vella,165
julius-gorenz,Julius Gorenz,166
julius-gorenz,Julius Gorenz,167
julius-gorenz,Julius Gorenz,168
julius-gorenz,Julius Gorenz,169
julius-gorenz,Julius Gorenz,170
mitja-zivkovic,Mitja Zivkovic,171
jaka-sprah,Jaka Šprah,172
jaka-sprah,Jaka Šprah,173
aljoscha-follak,Aljoscha Follak,174
urban-novak,Urban Novak,175
urban-novak,Urban Novak,176
simona-strle,Simona Strle,177
rok-repek,Rok Repek,178
dan-kulisic-tjmzb,Dan Kulisic,179
katja-mesaric,Katja Mesarič,180
katja-mesaric,Katja Mesarič,181
katja-mesaric,Katja Mesarič,182
eva-dana-vidmar,Eva Vidmar,183
eva-dana-vidmar,Eva Vidmar,184
jakob-kos,Jakob Kos,185
jaka-sprah,Jaka Šprah,186
jakob-kos,Jakob Kos,187
giulio-baxa,Giulio Baxa,188
giulio-baxa,Giulio Baxa,189
urban-furlan,Urban Furlan,190
jakub-bajorek,Jakub Bajorek,191
stan-zolnierczyk,Stan Zolnierczyk,192
jakub-bajorek,Jakub Bajorek,193
jakob-kos,Jakob Kos,194
eva-dana-vidmar,Eva Vidmar,195
erazem-stonic-pwp5u,Erazem Stonič,196
erazem-stonic-pwp5u,Erazem Stonič,197
jakob-kos,Jakob Kos,198
jakob-kos,Jakob Kos,199
erazem-stonic-pwp5u,Erazem Stonič,200
erazem-stonic-pwp5u,Erazem Stonič,201
erazem-stonic-pwp5u,Erazem Stonič,202
stan-zolnierczyk,Stan Zolnierczyk,203
luca-bosisio,Luca Bosisio,204
jakub-bajorek,Jakub Bajorek,205
jakub-bajorek,Jakub Bajorek,206
masa-arnsek-dkk2l,Maša Arnšek,207
masa-arnsek-dkk2l,Maša Arnšek,208
tina-arnsek,Tina Arnšek,209
tina-arnsek,Tina Arnšek,210
marco-saule,Marco Saule,211
matej-glivar,Matej Glivar,212
onufry-zagloba,Radosław Stawiarski,213
onufry-zagloba,Radosław Stawiarski,214
barbara-matyja,Merida Waleczna,215
barbara-matyja,Merida Waleczna,216
lucija-tarkus,Lucija Tarkuš,217
matej-glivar,Matej Glivar,218
j-m-perandones,Jorge Martin Perandones,219
matej-glivar,Matej Glivar,220
masa-arnsek-dkk2l,Maša Arnšek,221
balazs-palko,Balázs Palkó,222
balazs-palko,Balázs Palkó,223
balazs-palko,Balázs Palkó,224
balazs-palko,Balázs Palkó,225
jakob-sigler,Jakob Sigler,226
balazs-palko,Balázs Palkó,227
balazs-palko,Balázs Palkó,228
balazs-palko,Balázs Palkó,229
jakob-kos,Jakob Kos,230
ziga-zajc,Žiga Zajc,231
jakob-kos,Jakob Kos,232
soeren-schritt,Sören Schritt,233
soeren-schritt,Sören Schritt,234
soeren-schritt,Sören Schritt,235
guido-de-sabbata-nuv0s,Guido  De Sabbata ,236
davide-gaeta,Davide Gaeta,237
masa-arnsek-dkk2l,Maša Arnšek,238
giulio-baxa,Giulio Baxa,239
ziga-sedej,Žiga Sedej,240
kinga-dudek,Kinga Dudek,241
bor-savnik,Bor  Savnik,242
matija-ozebek,Matija Ozebek,243
matija-ozebek,Matija Ozebek,244
matija-ozebek,Matija Ozebek,245
matija-ozebek,Matija Ozebek,246
giulio-baxa,Giulio Baxa,247
jure-franko,Jure Franko,248
jernej-kruder,Jernej Kruder,249
luca-bacer,Luca Bacer,250
milan-preskar,Milan Preskar,251
blaz-erjavc,Blaž Erjavc,252
saso-poglajen,Sašo Poglajen,253
nejc-kavcic,Nejc Kavčič,254
nejc-kavcic,Nejc Kavčič,255
jaka-sprah,Jaka Šprah,256
jaka-sprah,Jaka Šprah,257
maj-tomazin-1915j,Maj Tomažin,258
eva-dana-vidmar,Eva Vidmar,259
ajda-lovse,Ajda Lovse,260
ajda-lovse,Ajda Lovse,261
mihael-stefic,Mihael Štefić,262
mojca-bizjak,Mojca Bizjak,263
domen-kolenko,Domen Kolenko,264
domen-kolenko,Domen Kolenko,265
marco-francesco-ristic,Marco Francesco Ristić,266
mojca-bizjak,Mojca Bizjak,267
rok-blagus,Rok Blagus,268
rok-repek,Rok Repek,269
mojca-bizjak,Mojca Bizjak,270
mojca-bizjak,Mojca Bizjak,271
ziga-sedej,Žiga Sedej,272
saso-poglajen,Sašo Poglajen,273
petra-zupan,Petra Zupan,274
saso-poglajen,Sašo Poglajen,275
matja-zorko,Matjaz Zorko,276
matja-zorko,Matjaz Zorko,277
ziga-sedej,Žiga Sedej,278
martin-bombac,Martin Bombac,279
jakob-bizjak,Jakob Bizjak,280
mojca-bizjak,Mojca Bizjak,281
ziga-sedej,Žiga Sedej,282
martin-bombac,Martin Bombac,283
martin-bombac,Martin Bombac,284
matja-zorko,Matjaz Zorko,285
petra-zupan,Petra Zupan,286
jernej-kruder,Jernej Kruder,287
linda-okoren,Linda Okoren,288
linda-okoren,Linda Okoren,289
linda-okoren,Linda Okoren,290
matja-zorko,Matjaz Zorko,291
matja-zorko,Matjaz Zorko,292
jure-franko,Jure Franko,293
mitja-jereb,Mitja Jereb,294
bor-savnik,Bor  Savnik,295
katarina-rus-f,Katarina Rus,296
tina-bercic,Tina Bercic,297
matja-zorko,Matjaz Zorko,298
petra-zupan,Petra Zupan,299
mitja-jereb,Mitja Jereb,300
jakob-parovec,Jakob parovec,301
jure-franko,Jure Franko,302
vid-urnaut,vid urnaut,303
vid-urnaut,vid urnaut,304
vid-urnaut,vid urnaut,305
mitja-jereb,Mitja Jereb,306
mojca-bizjak,Mojca Bizjak,307
ziga-sedej,Žiga Sedej,308
katarina-rus-f,Katarina Rus,309
mojca-bizjak,Mojca Bizjak,310
mojca-bizjak,Mojca Bizjak,311
sasa-sedlar,Saša Sedlar (f),312
linda-okoren,Linda Okoren,313
matej-glivar,Matej Glivar,314
matej-glivar,Matej Glivar,315
barbora-poduskova,Barbora Podušková,316
anej-krepfl,Anej Krepfl,317
anej-krepfl,Anej Krepfl,318
petra-zupan,Petra Zupan,319
matej-glivar,Matej Glivar,320
denis-pail,Denis Pail,321
olin-klapal,Olin Klapal,322
miha-pribosic,Miha Pribošič,323
katja-mesaric,Katja Mesarič,324
mojca-bizjak,Mojca Bizjak,325
mojca-bizjak,Mojca Bizjak,326
andrej-skafar,Andrej Skafar,327
robert-buh,Robert Buh,328
robert-buh,Robert Buh,329
dominik-cyran,Dominik Cyran,330
dominik-cyran,Dominik Cyran,331
andrej-skafar,Andrej Skafar,332
jakob-meglic,Jakob Meglič,333
janez-miklavcic,Janez Miklavčič,334
kuba-jasiewicz,Kuba Jasiewicz,335
kuba-jasiewicz,Kuba Jasiewicz,336
jakob-meglic,Jakob Meglič,337
dominik-cyran,Dominik Cyran,338
dominik-cyran,Dominik Cyran,339
lukasz-gebel,Lukasz Gebel,340
lukasz-gebel,Lukasz Gebel,341
kuba-jasiewicz,Kuba Jasiewicz,342
kuba-jasiewicz,Kuba Jasiewicz,343
kuba-jasiewicz,Kuba Jasiewicz,344
kuba-jasiewicz,Kuba Jasiewicz,345
kuba-jasiewicz,Kuba Jasiewicz,346
kuba-jasiewicz,Kuba Jasiewicz,347
bart-szymik,Bart Szymik,348
filip-sokol-o29ww,Filip Sokół,349
lukasz-gebel,Lukasz Gebel,350
lukasz-gebel,Lukasz Gebel,351
lukasz-gebel,Lukasz Gebel,352
kuba-jasiewicz,Kuba Jasiewicz,353
kuba-jasiewicz,Kuba Jasiewicz,354
kuba-jasiewicz,Kuba Jasiewicz,355
kuba-jasiewicz,Kuba Jasiewicz,356
kuba-jasiewicz,Kuba Jasiewicz,357
urban-primoic,Urban Primožič,358
