,uporabnik,sigma
0,linda-okoren,67108864.0
1,tina-bercic,3.6893488147419103e+19
2,rok-repek,4.611686018427388e+18
3,jakob-puhar-48595,0.0
4,matja-zorko,2.3404678673229416e+16
5,masa-arnsek-dkk2l,2.8131284712407066e+20
6,tina-arnsek,7.932099951695107e+20
7,giulio-baxa,4.722366482869645e+21
8,thomas-krapfl-ks7lp,4.611686018427388e+18
9,alberto-raho,0.0
10,riky-vella,1.53600894791005e+17
11,qba-j,1.152921504606847e+18
12,sofia-libera,0.0
13,luca-bosisio,0.0
14,stefan-atschreiter,0.0
15,michal-grzyb,4.919131752989214e+20
16,riccardo-edalucci,1.152921504606847e+18
17,vesna-pavlovic,4.4003869499467146e+21
18,blaz-scuka,281474976710656.0
19,bor-savnik,1.3927381848330453e+20
20,luca-bacer,1.888946593147858e+23
21,yari-de-momi,4.722366482869645e+21
22,jakob-meglic,2.6327293108001176e+16
23,neza-nemec,4.611686018427388e+18
24,andrea-one-padoan,4.722366482869645e+21
25,petra-zupan,4.353431601395454e+21
26,nejc-kavcic,965066880076068.6
27,andrea-pustetto,0.0
28,domen-kolenko,2.951479058830403e+21
29,stefano-turina,6.124895493223875e+17
30,saso-poglajen,1.0379620064108883e+18
31,robert-vlasits,0.0
32,dominik-fon,9.44473296573929e+21
33,jernej-kruder,1.9180073099655173e+23
34,roni-nikolic,4.611686018427388e+18
35,mojca-bizjak,1.2311196580014442e+16
36,luka-pavlovcic,3.226503236165198e+21
37,matteo-humar,4.744369520675894e+17
38,maj-tomazin-1915j,4.722366482869645e+21
39,andraz-lekse,1.152921504606847e+18
40,laura-drasler-76851,7.932099951695107e+20
41,katja-mesaric,4.368188996654422e+21
42,marko-buljan,2.305843009213694e+18
43,peter-mastnak-sokolov,1.7295667243510077e+21
44,robert-buh,5.434082472121131e+19
45,jaka-sprah,23026220610355.2
46,andrea-chelleris,0.0
47,martin-bombac,2483376722728.4014
48,judith-lang,0.0
49,jakub-piwowar-ddn8s,0.0
50,uros-brecelj,7.555786372591432e+22
51,janez-miklavcic,1.6150949537183647e+18
52,ajda-lovse,3.135946492530624e+21
53,tabea-seedoch,0.0
54,mitja-zivkovic,1.3835058055282164e+19
55,julius-gorenz,0.0
56,aljoscha-follak,0.0
57,urban-novak,0.0
58,simona-strle,1.567973246265312e+20
59,dan-kulisic-tjmzb,0.0
60,eva-dana-vidmar,1.1805916207174113e+21
61,jakob-kos,2.951479051793528e+21
62,urban-furlan,2.2136092888451462e+20
63,jakub-bajorek,1.1805916207174113e+21
64,stan-zolnierczyk,2.8823037615171174e+17
65,erazem-stonic-pwp5u,2.1361988449644007e+20
66,marco-saule,3.935305402391371e+21
67,matej-glivar,5.8710151169086024e+16
68,onufry-zagloba,0.0
69,barbara-matyja,0.0
70,lucija-tarkus,5.462542088827241e+21
71,j-m-perandones,0.0
72,balazs-palko,6.124895493223875e+17
73,jakob-sigler,1.152921504606847e+18
74,ziga-zajc,0.0
75,soeren-schritt,4.722366482869645e+21
76,guido-de-sabbata-nuv0s,5.666839779443574e+22
77,davide-gaeta,3.022314549036573e+23
78,ziga-sedej,4.722366482869645e+21
79,kinga-dudek,0.0
80,matija-ozebek,3975834046038016.0
81,jure-franko,9.639191328474323e+17
82,milan-preskar,1.3222626152035007e+23
83,blaz-erjavc,4.722366482869645e+21
84,mihael-stefic,2.8823037615171174e+18
85,marco-francesco-ristic,2.5364273101350636e+18
86,rok-blagus,4.291610080715995e+21
87,jakob-bizjak,6.528683191782502e+23
88,mitja-jereb,8.770109182472199e+21
89,katarina-rus-f,2.0139504118120545e+21
90,jakob-parovec,1.888946593147858e+23
91,vid-urnaut,4.722366482869645e+21
